Name,Super,Abstract,Persistent,Final,Deprecated,Hidden,SqlTable,System,Ensemble
%Activate.Enum,%Library.Integer,,,,,,,,
%Activate.HandleEvents,%Library.RegisteredObject,TRUE,,,,,,,
%Activate.IDispatch,%Activate.Interface,,,,,,,,
%Activate.GenericObject,%Activate.IDispatch,,,,,,,,
%Activate.IEnumVariant,%Activate.Interface,,,,,,,,
%Activate.RegisterEvents,%Library.RegisteredObject,TRUE,,,,,,,
%Activate.SafeArray,%Library.String,,,,,,,,
%Activate.Interface,%Library.RegisteredObject,TRUE,,,,,,,
%Activate.TLEnumerator,%Library.RegisteredObject,,,,,,,,
%Activate.TLLib.ILibraries,%Activate.Interface,,,,,,,,
%Activate.TLLib.IUtils,%Activate.Interface,,,,,,,,
%Activate.TLLib.Utils,%Activate.TLLib.IUtils,,,,,,,,
%Activate.UI.Application,%ZEN.application,,,,,,,,
%Activate.UI.WizardDone,%CSP.Page,,,,,,,,
%Activate.Unsupported,%Library.RegisteredObject,,,,,,,,
%Activate.UserDefined,%Library.String,,,,,,,,
%Activate.Variant,%Library.RegisteredObject,,,,,,,,
%Archive.Content,%Library.RegisteredObject,,,,,,,,
%Archive.Session,%Library.RegisteredObject,,,,,,,,
%BI.Adaptor,%BI.MinerParams,TRUE,,,,,,,
%BI.Alerts,%Library.Persistent,,TRUE,,,,%BI.Alerts,,
%BI.AnalyzerGrid,%CSP.Page,,,,,,,,
%Activate.UI.Wizard,%ZEN.Template.ObjectGatewayWizard.Template,,,,,,,,
%BI.AttachedPicture,%Library.SerialObject,,,,,,,,
%BI.AttachInfo,%Library.Persistent,,TRUE,,,,%BI.AttachInfo,,
%BI.Audit,%Library.Persistent~%BI.Adaptor,,TRUE,,,,%BI.Audit,,
%BI.BPM,%Library.Persistent,,TRUE,,,,%BI.BPM,,
%BI.BPMKPI,%Library.SerialObject,,,,,,,,
%BI.BitMapType,%Library.SerialObject,,,,,,,,
%BI.Blog,%Library.Persistent~%XML.Adaptor,,TRUE,,,,%BI.Blog,,
%BI.BlogComment,%Library.Persistent~%BI.Adaptor,,TRUE,,,,%BI.BlogComment,,
%BI.BlogImageUpload,%Library.Persistent,,TRUE,,,,%BI.BlogImageUpload,,
